Lugar,Tempo,latitude,longitude
Oliveira de Azeméis,7:15,40.8390118,-8.4777807
Santiago de Riba,7:19,40.8524018,-8.4923654
Couto de Cucujães,7:23,40.8681375,-8.494276454455614
Faria,7:25,40.8792356,-8.494921
S. João da Madeira,7:32,40.897404,-8.490683816868543
Arrifana,7:34,40.9116856,-8.4952939
Escapáes,7:38,40.9270524,-8.5062947
Vila da Feira,7:43,40.924267650000004,-8.535577169577815
Sanfins,7:44,40.9264836,-8.5254016
Cavaco,7:48,40.9395595,-8.5374864
S. João de Ver,7:52,40.954172,-8.5534047
Rio Meão,7:58,40.9581668,-8.5826133
Paços de Brandão,8:03,40.9738702,-8.5915442
Sampaio-Oleiros,8:07,40.984050350000004,-8.59344149659616
Lapa,8:10,40.983703,-8.6050784
Monte de Paramos,8:13,40.9822711,-8.6255028
Silvalde-Vouga,8:15,40.9888057,-8.6303423
Espinho (Vouga),8:19,41.002170899999996,-8.6435313